,feature,F_score
81,x__ar_coefficient__coeff_1__k_10,739.3694790226025
82,"x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",737.718543008563
83,z__partial_autocorrelation__lag_2,736.8662702742939
84,z__permutation_entropy__dimension_3__tau_1,734.0265963824854
85,"x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",727.9637410416718
86,"z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",725.2354084406012
87,"x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",701.0067862729584
88,"z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",697.53142542115
89,"z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",694.6017967195442
90,"x__fft_coefficient__attr_""abs""__coeff_26",692.8015835107456
91,"z__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",689.7327741700316
92,"z__fft_aggregated__aggtype_""variance""",682.3741727845744
93,y__partial_autocorrelation__lag_5,676.737953132695
94,z__permutation_entropy__dimension_5__tau_1,676.147048617008
95,"x__fft_coefficient__attr_""abs""__coeff_20",665.7036798247576
96,"z__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",665.2928248479493
97,z__permutation_entropy__dimension_6__tau_1,663.9660639225852
98,"z__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",662.3513158085829
99,z__number_crossing_m__m_0,651.9579528946517
100,x__permutation_entropy__dimension_4__tau_1,651.7591273783494
