,feature,F_score
76,y__partial_autocorrelation__lag_2,687.1423914591443
77,x__ar_coefficient__coeff_1__k_10,681.37738797479
78,z__partial_autocorrelation__lag_2,674.5572091140185
79,z__partial_autocorrelation__lag_5,674.1175882451523
80,"z__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",660.8763035033501
81,z__permutation_entropy__dimension_3__tau_1,648.1386638973295
82,"z__fft_coefficient__attr_""abs""__coeff_34",642.9259261732022
83,"x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",641.9787421503806
84,"x__fft_coefficient__attr_""abs""__coeff_38",637.8876306937158
85,x__permutation_entropy__dimension_3__tau_1,626.9724907878316
86,"x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",626.6577382008466
87,x__permutation_entropy__dimension_4__tau_1,626.2733780666142
88,"x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",624.6281619070138
89,x__number_peaks__n_1,622.0077700765033
90,y__cid_ce__normalize_True,610.9987047454147
91,"z__fft_coefficient__attr_""abs""__coeff_39",610.1955935109098
92,z__permutation_entropy__dimension_7__tau_1,607.0984123085715
93,y__autocorrelation__lag_1,607.0472027432311
94,y__partial_autocorrelation__lag_1,607.0472027422659
95,z__permutation_entropy__dimension_4__tau_1,602.78252687025
96,z__number_crossing_m__m_0,591.6335429998516
97,z__number_crossing_m__m_-1,591.0998824257548
98,z__number_crossing_m__m_1,591.0782178336945
99,"z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",579.9167003735242
100,"z__fft_aggregated__aggtype_""variance""",576.4697605801944
