,feature,F_score
74,z__partial_autocorrelation__lag_7,523.4950441819145
75,"z__fft_coefficient__attr_""abs""__coeff_70",522.4661715696006
76,"x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",508.03562362733624
77,y__time_reversal_asymmetry_statistic__lag_1,507.9389657653359
78,z__ar_coefficient__coeff_3__k_10,507.0616803671699
79,"z__fft_coefficient__attr_""abs""__coeff_69",497.5438874148567
80,"z__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",494.92507645950474
81,z__number_crossing_m__m_0,489.86475540242424
82,z__number_crossing_m__m_1,489.65364273020646
83,z__number_crossing_m__m_-1,488.7366903028553
84,z__cid_ce__normalize_False,484.6316096419888
85,"z__fft_coefficient__attr_""abs""__coeff_75",482.5901398675519
86,z__number_peaks__n_1,473.22393916279447
87,"z__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",467.89159115956465
88,z__permutation_entropy__dimension_3__tau_1,466.09631720328025
89,"x__fft_coefficient__attr_""abs""__coeff_75",458.46768858040167
90,"x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",448.80897272959083
91,"x__agg_autocorrelation__f_agg_""mean""__maxlag_40",446.3267988290105
92,"x__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",445.88710504955833
93,"x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",445.7584207497778
94,z__ar_coefficient__coeff_0__k_10,440.8842372614999
95,y__partial_autocorrelation__lag_2,436.7146993099552
96,"x__fft_coefficient__attr_""abs""__coeff_65",436.6819321226989
97,"z__fft_coefficient__attr_""abs""__coeff_76",431.71828588493406
98,z__absolute_sum_of_changes,427.38344213430423
99,z__mean_abs_change,427.3834421337064
100,"z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",427.3834421337064
